"","PID.FU","Percent.Distract","dprime_Distract","dprime_Reapp","Accuracy","ERQ_Reapp.FU","Gender","Age","ERQ_Supp.FU","DERS.FU","DERS.Nonaccept.FU","DERS.DiffGoal.FU","DERS.Impulse.FU","DERS.LimitAccess.FU","DERS.LackClarity.FU","IUS.FU","IUS_F1.FU","IUS_F2.FU","ERQ_Reapp.Diff.abs.avg","ERQ_Supp.Diff.abs.avg","ERQ_Reapp.Diff.abs.z.avg","ERQ_Supp.Diff.abs.z.avg"
"P099","P099",0.525641025641026,0.874927016762421,-0.644995423266051,0.538461538461538,35,"Female","61",17,71,11,11,10,15,10,24,16,8,5.36746987951807,5.62048192771084,-0.0887997925389517,-0.126306961961136
"P100","P100",0.474358974358974,0.465019342728346,-1.07304760884252,0.41025641025641,34,"Female","31",12,47,6,9,7,9,9,27,19,8,4.60843373493976,3.53614457831325,-0.254559405278328,-0.613453907066746
"P101","P101",0.5,0.807813301645962,-0.71452108485019,0.512820512820513,22,"Female","23",17,98,18,15,14,19,13,53,29,24,8.33132530120482,5.62048192771084,0.558452028633851,-0.126306961961136
"P102","P102",0.576923076923077,0.657331584388158,-0.911608380781804,0.487179487179487,30,"Male","75",16,94,18,13,15,19,13,37,24,13,4.24698795180723,5.03012048192771,-0.333492554201841,-0.264284998436136
"P103","P103",0.346153846153846,0.687883479345257,-0.853004350495354,0.435897435897436,34,"Male","21",10,72,14,13,12,16,7,23,13,10,4.60843373493976,3.80120481927711,-0.254559405278328,-0.551504584567767
"P104","P104",0.474358974358974,0.837178064595605,-0.692972916438673,0.512820512820513,34,"Female","37",15,61,9,13,8,12,8,34,24,10,4.60843373493976,4.54819277108434,-0.254559405278328,-0.376920130252462
"P105","P105",0.551282051282051,0.84883727802563,-0.668651356622855,0.538461538461538,26,"Female","21",11,132,22,21,24,33,18,53,32,21,5.69277108433735,3.63253012048193,-0.0177599585077904,-0.590926880703481
"P106","P106",0.628205128205128,0.870862950812062,-0.651934646670471,0.564102564102564,19,"Female","21",18,72,9,12,8,17,9,21,15,6,11.2469879518072,6.24698795180723,1.19517942995019,0.0201187094000872
"P107","P107",0.551282051282051,0.674040333980508,-0.871350455451957,0.487179487179487,33,"Female","48",14,67,6,16,12,15,8,48,28,20,4.2710843373494,4.07831325301205,-0.328230344273606,-0.48673938377338
"P108","P108",0.512820512820513,0.74861940621398,-0.773714980282172,0.5,34,"Female","62",12,96,17,21,14,21,10,43,25,18,4.60843373493976,3.53614457831325,-0.254559405278328,-0.613453907066746
"P109","P109",0.448717948717949,0.981134042365942,-0.5902178692717,0.538461538461538,36,"Female","21",12,90,19,15,12,17,11,24,14,10,6.15060240963855,3.53614457831325,0.0822220301286588,-0.613453907066746
"P110","P110",0.602564102564103,0.723293043195302,-0.839933456703906,0.512820512820513,36,"Male","54",16,67,9,12,9,17,7,26,16,10,6.15060240963855,5.03012048192771,0.0822220301286588,-0.264284998436136
"P111","P111",0.461538461538462,0.704189318698033,-0.815733121330438,0.474358974358974,37,"Female","24",11,79,12,16,13,21,11,34,27,7,6.93373493975904,3.63253012048193,0.253243852796269,-0.590926880703481
"P112","P112",0.474358974358974,0.837178064595605,-0.692972916438673,0.512820512820513,33,"Female","22",9,117,18,22,15,33,13,51,30,21,4.2710843373494,4.03012048192771,-0.328230344273606,-0.498002896955012
"P113","P113",0.320512820512821,1.01740686125037,-0.682581068383352,0.487179487179487,38,"Female","32",12,70,7,13,6,17,11,28,19,9,7.87349397590361,3.53614457831325,0.458470039997402,-0.613453907066746
"P114","P114",0.448717948717949,0.981134042365942,-0.5902178692717,0.538461538461538,28,"Female","57",5,83,9,22,11,16,9,43,27,16,4.84939759036145,7.29518072289157,-0.201937305995986,0.265100121100596
"P115","P115",0.987179487179487,1.19189966910377,-Inf,0.717948717948718,31,"Female","22",13,100,20,19,16,23,11,32,20,12,3.98192771084337,3.68072289156627,-0.391376863412416,-0.579663367521848
"P116","P116",0.743589743589744,1.07870022835347,-0.37491411397556,0.653846153846154,29,"Male","20",18,56,8,9,8,13,8,17,12,5,4.51204819277108,6.24698795180723,-0.275608244991265,0.0201187094000872
"P117","P117",0.448717948717949,0.767652403011467,-0.760086631555131,0.487179487179487,35,"Female","68",14,41,6,9,6,8,6,18,12,6,5.36746987951807,4.07831325301205,-0.0887997925389517,-0.48673938377338
"P118","P118",0.525641025641026,0.782341490440315,-0.739191322179004,0.512820512820513,27,"Female","19",21,147,28,21,18,34,20,48,25,23,5.19879518072289,8.76506024096386,-0.125635262036591,0.60863727314039
"P119","P119",0.615384615384615,0.67539563086496,-0.923674648899492,0.5,31,"Female","31",15,70,7,14,9,12,11,31,17,14,3.98192771084337,4.54819277108434,-0.391376863412416,-0.376920130252462
"P120","P120",0.58974358974359,0.858697190051963,-0.659172062981825,0.551282051282051,39,"Male","21",21,75,16,11,17,10,8,35,20,15,8.84939759036145,8.76506024096386,0.671589542090886,0.60863727314039
"P121","P121",0.307692307692308,0.689760954896718,-0.869423773288886,0.423076923076923,31,"Female","42",18,96,13,15,14,21,14,28,18,10,3.98192771084337,6.24698795180723,-0.391376863412416,0.0201187094000872
"P122","P122",0.576923076923077,1.00601550684445,-0.498964158053711,0.58974358974359,36,"Male","57",17,56,9,10,6,10,7,28,22,6,6.15060240963855,5.62048192771084,0.0822220301286588,-0.126306961961136
"P123","P123",0.512820512820513,0.74861940621398,-0.773714980282172,0.5,31,"Male","28",18,91,19,16,11,17,17,34,21,13,3.98192771084337,6.24698795180723,-0.391376863412416,0.0201187094000872
